BATTER,Dismissal,R,B,M,4s,6s,SR,URL,Match
Riaz Afridi , b Adapaka,1,2,-,0,0,50,/cricketers/riaz-afridi-1380789,czech-republic vs hungary
Rahat Ali , b Kheterpal,9,10,-,0,0,90,/cricketers/rahat-ali-1380791,czech-republic vs hungary
Zeeshan Kukikhel ,c Wickramasekara b Rahat Ali,4,3,-,1,0,133.33,/cricketers/zeeshan-kukikhel-1204124,czech-republic vs hungary
Vinoth Ravindran ,c Marghashayam b Ashokan,26,24,-,3,1,108.33,/cricketers/vinoth-ravindran-1380786,czech-republic vs hungary
Abhishek Ahuja †, b Riaz Afridi,4,4,-,1,0,100,/cricketers/abhishek-ahuja-1204126,czech-republic vs hungary
Ali Farasat , b Ashokan,11,11,-,0,1,100,/cricketers/ali-farasat-1314064,czech-republic vs hungary
Abhijeet Ahuja (c),c Riaz Afridi b Naveed Ahmed,1,5,-,0,0,20,/cricketers/abhijeet-ahuja-1204125,czech-republic vs hungary
Zahir Mohammed ,c Rahat Ali b Sazib Bhuiyan,17,21,-,1,1,80.95,/cricketers/zahir-mohammed-1204127,czech-republic vs hungary
Abhitesh Prashar ,c †Khari b Ritik Tomar,10,15,-,0,0,66.66,/cricketers/abhitesh-prashar-1380785,czech-republic vs hungary
Rushab Patel , b Nsubuga,25,28,-,4,0,89.28,/cricketers/rushab-patel-473378,kenya vs uganda
Collins Obuya ,not out ,96,60,-,8,6,160,/cricketers/collins-obuya-24752,kenya vs uganda
Nelson Odhiambo ,c Riazat Ali Shah b Nsubuga,7,8,-,0,1,87.5,/cricketers/nelson-odhiambo-308418,kenya vs uganda
Roger Mukasa ,c Obuya b Vraj Patel,45,25,-,7,1,180,/cricketers/roger-mukasa-233528,kenya vs uganda
Simon Ssesazi ,c Oluoch b Ngoche,0,2,-,0,0,0,/cricketers/simon-ssesazi-531312,kenya vs uganda
Alpesh Ramjani ,c RN Patel b Ngoche,20,14,-,3,1,142.85,/cricketers/alpesh-ramjani-1178061,kenya vs uganda
Kenneth Waiswa ,c Obanda b RR Patel,22,18,-,2,0,122.22,/cricketers/kenneth-waiswa-928109,kenya vs uganda
Riazat Ali Shah , b Vraj Patel,0,1,-,0,0,0,/cricketers/riazat-ali-shah-1129565,kenya vs uganda
Dinesh Nakrani ,c RN Patel b Vraj Patel,2,8,-,0,0,25,/cricketers/dinesh-nakrani-731523,kenya vs uganda
Cyrus Kakuru †,c Obanda b Ngoche,1,3,-,0,0,33.33,/cricketers/cyrus-kakuru-1280690,kenya vs uganda
Brian Masaba (c),c †Singh b Ngoche,1,3,-,0,0,33.33,/cricketers/brian-masaba-420492,kenya vs uganda
Frank Nsubuga ,run out (RN Patel),0,2,-,0,0,0,/cricketers/frank-nsubuga-26139,kenya vs uganda
Aziz Mohammad ,c Zahid Zadran b Ghulam Ahmadi,13,9,-,1,1,144.44,/cricketers/aziz-mohammad-1101858,germany vs belgium
Muhammad Muneeb ,c Sahir Naqash b Ganesan,39,37,-,4,1,105.4,/cricketers/muhammad-muneeb-1230633,germany vs belgium
Ali Raza ,c Sahir Naqash b Bharathi,28,16,-,2,2,175,/cricketers/ali-raza-520128,germany vs belgium
Sheraz Sheikh (c),c †Sachin Mandy b Sahir Naqash,37,20,-,4,2,185,/cricketers/sheraz-sheikh-303812,germany vs belgium
Shaheryar Butt , b Muslim Yar,12,12,-,2,0,100,/cricketers/shaheryar-butt-520127,germany vs belgium
Saber Zakhil ,c †Sachin Mandy b Sahir Naqash,9,5,-,0,1,180,/cricketers/saber-zakhil-1156426,germany vs belgium
Khalid Ahmadi ,c †Sachin Mandy b Sahir Naqash,5,4,-,1,0,125,/cricketers/khalid-ahmadi-1230629,germany vs belgium
Omid Mailk Khel †,not out ,22,8,-,3,1,275,/cricketers/omid-mailk-khel-1318869,germany vs belgium
Shagharai Sefat , b Muslim Yar,3,4,-,0,0,75,/cricketers/shagharai-sefat-1270825,germany vs belgium
Venkatraman Ganesan (c),c Aziz Mohammad b Murid Ekrami,1,2,-,0,0,50,/cricketers/venkatraman-ganesan-1101871,germany vs belgium
Mudassar Muhammad ,c Sheraz Sheikh b Murid Ekrami,34,29,-,6,0,117.24,/cricketers/mudassar-muhammad-1046603,germany vs belgium
Vijayshankar Chikkannaiah ,c sub (R Thapliyal) b Sajad Ahmadzai,17,13,-,3,0,130.76,/cricketers/vijayshankar-chikkannaiah-1184115,germany vs belgium
Shahid Afridi , b Shagharai Sefat,18,15,-,1,1,120,/cricketers/shahid-afridi-1380679,germany vs belgium
Sahir Naqash ,not out ,51,27,-,7,1,188.88,/cricketers/sahir-naqash-1183929,germany vs belgium
Ameer Saiyed ,hit wicket b Akayezu,38,41,-,2,1,92.68,/cricketers/ameer-saiyed-628236,botswana vs rwanda
Karabo Motlhanka (c),not out ,75,59,-,8,1,127.11,/cricketers/karabo-motlhanka-308710,botswana vs rwanda
Orchide Tuyisenge ,c Tshose b Makgale,15,12,-,2,0,125,/cricketers/orchide-tuyisenge-1151256,botswana vs rwanda
Didier Ndikubwimana †,run out (Nehonde),39,33,-,4,1,118.18,/cricketers/didier-ndikubwimana-1155597,botswana vs rwanda
Wilson Niyitanga ,c †Mbazo b Maisuria,5,14,-,0,0,35.71,/cricketers/wilson-niyitanga-1155609,botswana vs rwanda
Martin Akayezu ,c Silas b Maisuria,2,4,-,0,0,50,/cricketers/martin-akayezu-1155599,botswana vs rwanda
Eric Niyomugabo ,c Khumalo b Mooketsi,2,7,-,0,0,28.57,/cricketers/eric-niyomugabo-1151257,botswana vs rwanda
Clinton Rubagumya (c),c Ameer Saiyed b Piet,22,16,-,0,1,137.5,/cricketers/clinton-rubagumya-1151255,botswana vs rwanda
Oscar Manishimwe ,c Maisuria b Piet,16,15,-,2,0,106.66,/cricketers/oscar-manishimwe-1280665,botswana vs rwanda
Kevin Irakoze ,run out (Maisuria),19,13,-,1,0,146.15,/cricketers/kevin-irakoze-1273409,botswana vs rwanda
Zappy Bimenyimana ,run out (Silas),1,3,-,0,0,33.33,/cricketers/zappy-bimenyimana-1151261,botswana vs rwanda
Venkatraman Ganesan (c),c Shaheryar Butt b Sheraz Sheikh,52,33,-,9,0,157.57,/cricketers/venkatraman-ganesan-1101871,germany vs belgium
Mudassar Muhammad ,c Aziz Mohammad b Thapliyal,0,1,-,0,0,0,/cricketers/mudassar-muhammad-1046603,germany vs belgium
Shahid Afridi , b Thapliyal,20,11,-,3,1,181.81,/cricketers/shahid-afridi-1380679,germany vs belgium
Vijayshankar Chikkannaiah ,lbw b Khalid Ahmadi,26,17,-,4,0,152.94,/cricketers/vijayshankar-chikkannaiah-1184115,germany vs belgium
Sahir Naqash ,c Saber Zakhil b Sajad Ahmadzai,12,11,-,2,0,109.09,/cricketers/sahir-naqash-1183929,germany vs belgium
Harmanjot Singh ,run out (Sheraz Sheikh/Shaheryar Butt),4,6,-,0,0,66.66,/cricketers/harmanjot-singh-469130,germany vs belgium
Sachin Mandy †,c Sajad Ahmadzai b Khalid Ahmadi,23,19,-,2,1,121.05,/cricketers/sachin-mandy-1318767,germany vs belgium
Muhammad Muneeb ,c Ganesan b Muslim Yar,18,14,-,2,1,128.57,/cricketers/muhammad-muneeb-1230633,germany vs belgium
Aziz Mohammad ,c Chikkannaiah b Zahid Zadran,12,8,-,3,0,150,/cricketers/aziz-mohammad-1101858,germany vs belgium
Ali Raza ,c †Sachin Mandy b Sahir Naqash,35,21,-,4,2,166.66,/cricketers/ali-raza-520128,germany vs belgium
Sheraz Sheikh (c),c Mudassar Muhammad b Bharathi,19,15,-,4,0,126.66,/cricketers/sheraz-sheikh-303812,germany vs belgium
Shaheryar Butt ,c sub (Abdul-Shakoor Rahimzei) b Bharathi,2,4,-,0,0,50,/cricketers/shaheryar-butt-520127,germany vs belgium
Omid Mailk Khel †,c Singh b Zahid Zadran,13,16,-,0,0,81.25,/cricketers/omid-mailk-khel-1318869,germany vs belgium
Saber Zakhil ,c Ghulam Ahmadi b Sahir Naqash,37,26,-,4,2,142.3,/cricketers/saber-zakhil-1156426,germany vs belgium
Khalid Ahmadi ,c Singh b Sahir Naqash,1,2,-,0,0,50,/cricketers/khalid-ahmadi-1230629,germany vs belgium
Sajad Ahmadzai ,c sub (Abdul-Shakoor Rahimzei) b Muslim Yar,13,7,-,1,1,185.71,/cricketers/sajad-ahmadzai-1318870,germany vs belgium
Ameer Saiyed , b Nsubuga,20,12,-,2,2,166.66,/cricketers/ameer-saiyed-628236,botswana vs uganda
Karabo Motlhanka (c),c & b Bilal Hassun,45,45,-,2,2,100,/cricketers/karabo-motlhanka-308710,botswana vs uganda
Valentine Mbazo †,c & b Nsubuga,7,11,-,0,0,63.63,/cricketers/valentine-mbazo-1107683,botswana vs uganda
Reginald Nehonde ,c Mukasa b Ramjani,6,18,-,0,0,33.33,/cricketers/reginald-nehonde-333003,botswana vs uganda
Thatayaone Tshose , b Bilal Hassun,13,17,-,1,0,76.47,/cricketers/thatayaone-tshose-585436,botswana vs uganda
Phemelo Silas , b Bilal Hassun,1,2,-,0,0,50,/cricketers/phemelo-silas-1107687,botswana vs uganda
Dhruvkumar Maisuria ,c Nsubuga b Riazat Ali Shah,5,4,-,1,0,125,/cricketers/dhruvkumar-maisuria-637478,botswana vs uganda
Mmoloki Mooketsi , b Nakrani,0,3,-,0,0,0,/cricketers/mmoloki-mooketsi-1089938,botswana vs uganda
Katlo Piet , b Bilal Hassun,4,2,-,1,0,200,/cricketers/katlo-piet-1197975,botswana vs uganda
Roger Mukasa ,lbw b Mooketsi,41,18,-,4,3,227.77,/cricketers/roger-mukasa-233528,botswana vs uganda
Simon Ssesazi ,lbw b Khumalo,9,6,-,2,0,150,/cricketers/simon-ssesazi-531312,botswana vs uganda
Kenneth Waiswa , b Mooketsi,5,6,-,0,0,83.33,/cricketers/kenneth-waiswa-928109,botswana vs uganda
Riazat Ali Shah ,st †Mbazo b Maisuria,9,9,-,1,0,100,/cricketers/riazat-ali-shah-1129565,botswana vs uganda
Orchide Tuyisenge ,c RR Patel b Oluoch,0,1,-,0,0,0,/cricketers/orchide-tuyisenge-1151256,kenya vs rwanda
Didier Ndikubwimana †,c Mwendwa b Oluoch,43,44,-,2,2,97.72,/cricketers/didier-ndikubwimana-1155597,kenya vs rwanda
Wilson Niyitanga ,run out (Mwendwa/†Singh),26,35,-,2,0,74.28,/cricketers/wilson-niyitanga-1155609,kenya vs rwanda
Eric Niyomugabo , b RR Patel,0,4,-,0,0,0,/cricketers/eric-niyomugabo-1151257,kenya vs rwanda
Clinton Rubagumya (c), b Ngoche,7,8,-,0,0,87.5,/cricketers/clinton-rubagumya-1151255,kenya vs rwanda
Kevin Irakoze ,run out (sub [EB Ringera]/†Singh),2,2,-,0,0,100,/cricketers/kevin-irakoze-1273409,kenya vs rwanda
Martin Akayezu ,c Oluoch b Mwendwa,7,5,-,0,1,140,/cricketers/martin-akayezu-1155599,kenya vs rwanda
Oscar Manishimwe ,not out ,27,14,-,4,0,192.85,/cricketers/oscar-manishimwe-1280665,kenya vs rwanda
Emile Rukiriza ,c Bhudia b Oluoch,2,3,-,0,0,66.66,/cricketers/emile-rukiriza-1280671,kenya vs rwanda
Rushab Patel ,c †Ndikubwimana b Ntirenganya,35,20,-,6,1,175,/cricketers/rushab-patel-473378,kenya vs rwanda
Collins Obuya ,c Niyomugabo b Rukiriza,36,27,-,3,3,133.33,/cricketers/collins-obuya-24752,kenya vs rwanda
Nelson Odhiambo ,c Rukiriza b Irakoze,23,24,-,2,1,95.83,/cricketers/nelson-odhiambo-308418,kenya vs rwanda
Rakep Patel (c),c Ntirenganya b Rukiriza,9,7,-,2,0,128.57,/cricketers/rakep-patel-267455,kenya vs rwanda
Sachin Bhudia , b Akayezu,9,8,-,1,0,112.5,/cricketers/sachin-bhudia-1107656,kenya vs rwanda
Shem Ngoche , b Rukiriza,4,4,-,1,0,100,/cricketers/shem-ngoche-308515,kenya vs rwanda
Sukhdeep Singh †,not out ,8,11,-,1,0,72.72,/cricketers/sukhdeep-singh-1107669,kenya vs rwanda
Joao Hou ,run out (Silas/†Mbazo),4,3,2,0,0,133.33,/cricketers/joao-hou-1155503,botswana vs mozambique
Lourenco Salomone ,c Maisuria b Khumalo,9,10,20,1,0,90,/cricketers/lourenco-salomone-1286495,botswana vs mozambique
Vieira Tembo ,c †Mbazo b Piet,16,22,26,3,0,72.72,/cricketers/vieira-tembo-1155501,botswana vs mozambique
Francisco Couana ,lbw b Maisuria,13,21,26,1,0,61.9,/cricketers/francisco-couana-585615,botswana vs mozambique
Filipe Cossa (c),c Silas b Mooketsi,20,23,23,1,1,86.95,/cricketers/filipe-cossa-1163158,botswana vs mozambique
Agostinho Navicha ,lbw b Piet,1,5,9,0,0,20,/cricketers/agostinho-navicha-1155511,botswana vs mozambique
Jose Joao ,c Motlhanka b Khumalo,8,14,15,0,0,57.14,/cricketers/jose-joao-1326951,botswana vs mozambique
Ameer Saiyed ,c †Sambo b Damiao Couana,12,15,17,2,0,80,/cricketers/ameer-saiyed-628236,botswana vs mozambique
Vinoo Balakrishnan ,c Macome b Roposo,34,27,51,3,1,125.92,/cricketers/vinoo-balakrishnan-1163174,botswana vs mozambique
Karabo Motlhanka (c),c †Sambo b Huo,4,8,8,0,0,50,/cricketers/karabo-motlhanka-308710,botswana vs mozambique
Safwan Barediya ,c Huo b Macome,2,4,10,0,0,50,/cricketers/safwan-barediya-1378456,eswatini vs mozambique
Adil Butt (c), b Tembo,24,28,61,2,0,85.71,/cricketers/adil-butt-1347279,eswatini vs mozambique
Hujeifa Jangariya †,c & b Macome,25,19,19,5,0,131.57,/cricketers/hujeifa-jangariya-1378455,eswatini vs mozambique
Muhammad Amin , b Macome,1,6,7,0,0,16.66,/cricketers/muhammad-amin-1283103,eswatini vs mozambique
Umair Qasim , b Huo,2,7,10,0,0,28.57,/cricketers/umair-qasim-1283098,eswatini vs mozambique
Wesley Landman ,c †Sambo b Huo,5,6,7,0,0,83.33,/cricketers/wesley-landman-1378459,eswatini vs mozambique
Shehzad Patel ,c †Sambo b Roposo,12,13,17,1,0,92.3,/cricketers/shehzad-patel-1163169,eswatini vs mozambique
Mohammed Alamgir ,c Huo b Roposo,13,19,20,0,0,68.42,/cricketers/mohammed-alamgir-1347282,eswatini vs mozambique
Francisco Couana , b Adil Butt,6,7,9,1,0,85.71,/cricketers/francisco-couana-585615,eswatini vs mozambique
Lourenco Salomone , b Umair Qasim,9,18,29,1,0,50,/cricketers/lourenco-salomone-1286495,eswatini vs mozambique
Joao Hou , b Umair Qasim,11,28,48,0,0,39.28,/cricketers/joao-hou-1155503,eswatini vs mozambique
Vieira Tembo ,c Umair Qasim b Jele,6,10,10,1,0,60,/cricketers/vieira-tembo-1155501,eswatini vs mozambique
Ameer Saiyed ,c †Chete b Sami Sohail,8,9,9,2,0,88.88,/cricketers/ameer-saiyed-628236,botswana vs malawi
Karabo Modise ,c Baig b Sami Sohail,2,6,19,0,0,33.33,/cricketers/karabo-modise-308388,botswana vs malawi
Karabo Motlhanka (c),not out ,53,41,89,6,1,129.26,/cricketers/karabo-motlhanka-308710,botswana vs malawi
Donnex Kansonkho , b Modise,8,9,13,1,0,88.88,/cricketers/donnex-kansonkho-1163148,botswana vs malawi
Gershom Ntambalika ,lbw b Modise,10,15,24,1,0,66.66,/cricketers/gershom-ntambalika-1163147,botswana vs malawi
Sami Sohail , b Mooketsi,6,12,25,0,0,50,/cricketers/sami-sohail-1163154,botswana vs malawi
Moazzam Baig (c),run out (Ameer Saiyed/†Mbazo),13,16,26,0,1,81.25,/cricketers/moazzam-baig-1163153,botswana vs malawi
Aaftab Limdawala ,st †Mbazo b Maisuria,12,26,22,0,0,46.15,/cricketers/aaftab-limdawala-1334805,botswana vs malawi
Daniel Jakiel ,c Silas b Maisuria,3,8,13,0,0,37.5,/cricketers/daniel-jakiel-1175831,botswana vs malawi
Gift Kansonkho , b Maisuria,5,9,10,0,0,55.55,/cricketers/gift-kansonkho-516363,botswana vs malawi
Waliyu Jackson ,c Makgale b Motlhanka,1,7,10,0,0,14.28,/cricketers/waliyu-jackson-1283112,botswana vs malawi
Chisomo Chete †,run out (†Mbazo),1,4,7,0,0,25,/cricketers/chisomo-chete-1163387,botswana vs malawi
Ameer Saiyed ,lbw b Landman,55,38,61,7,1,144.73,/cricketers/ameer-saiyed-628236,botswana vs eswatini
Karabo Modise ,c Barediya b Landman,38,31,50,3,3,122.58,/cricketers/karabo-modise-308388,botswana vs eswatini
Thatayaone Tshose , b Jele,60,28,39,7,2,214.28,/cricketers/thatayaone-tshose-585436,botswana vs eswatini
Valentine Mbazo †,c Adil Butt b Jele,4,5,13,0,0,80,/cricketers/valentine-mbazo-1107683,botswana vs eswatini
Muhammad Amin ,run out (Mooketsi),4,6,6,1,0,66.66,/cricketers/muhammad-amin-1283103,botswana vs eswatini
Safwan Barediya ,run out (sub [P Silas]),17,21,33,2,0,80.95,/cricketers/safwan-barediya-1378456,botswana vs eswatini
Adil Butt (c),c Makgale b Maphosa,2,3,4,0,0,66.66,/cricketers/adil-butt-1347279,botswana vs eswatini
Tarun Sandeep ,c Motlhanka b Maisuria,22,31,49,2,0,70.96,/cricketers/tarun-sandeep-585555,botswana vs eswatini
Christiaan Forbes ,st †Mbazo b Mooketsi,14,25,23,0,1,56,/cricketers/christiaan-forbes-1163165,botswana vs eswatini
Haris Rashid ,c †Mbazo b Maisuria,6,8,10,0,0,75,/cricketers/haris-rashid-346529,botswana vs eswatini
Hujeifa Jangariya †,run out (Makgale),13,10,10,2,0,130,/cricketers/hujeifa-jangariya-1378455,botswana vs eswatini
Wesley Landman , b Makgale,3,3,11,0,0,100,/cricketers/wesley-landman-1378459,botswana vs eswatini
Shehzad Patel ,c sub (P Silas) b Maisuria,1,2,3,0,0,50,/cricketers/shehzad-patel-1163169,botswana vs eswatini
Francisco Couana ,c †Chete b Sami Sohail,10,23,27,1,0,43.47,/cricketers/francisco-couana-585615,malawi vs mozambique
Lourenco Salomone ,c †Chete b Sami Sohail,1,10,19,0,0,10,/cricketers/lourenco-salomone-1286495,malawi vs mozambique
Joao Hou , b Baig,4,12,26,1,0,33.33,/cricketers/joao-hou-1155503,malawi vs mozambique
Filipe Cossa (c),c Ntambalika b Sami Sohail,0,7,10,0,0,0,/cricketers/filipe-cossa-1163158,malawi vs mozambique
Jose Joao , b Vayani,18,20,30,2,0,90,/cricketers/jose-joao-1326951,malawi vs mozambique
Agostinho Navicha , b Sami Sohail,5,8,7,1,0,62.5,/cricketers/agostinho-navicha-1155511,malawi vs mozambique
Vieira Tembo ,c D Kansonkho b Baig,0,4,4,0,0,0,/cricketers/vieira-tembo-1155501,malawi vs mozambique
Luis Mavume ,c †Chete b G Kansonkho,5,16,23,0,0,31.25,/cricketers/luis-mavume-1347291,malawi vs mozambique
Bernardo Sambo †,not out ,9,14,22,1,0,64.28,/cricketers/bernardo-sambo-1155499,malawi vs mozambique
Donnex Kansonkho , b Huo,1,8,7,0,0,12.5,/cricketers/donnex-kansonkho-1163148,malawi vs mozambique
Donnex Kansonkho ,c Jele b Rashid,31,29,37,2,2,106.89,/cricketers/donnex-kansonkho-1163148,eswatini vs malawi
Gift Kansonkho ,c & b Umair Qasim,11,12,23,1,0,91.66,/cricketers/gift-kansonkho-516363,eswatini vs malawi
Sami Sohail ,c & b Adil Butt,75,51,59,6,2,147.05,/cricketers/sami-sohail-1163154,eswatini vs malawi
Moazzam Baig (c),lbw b Faizalmahmed Patel,19,19,31,2,0,100,/cricketers/moazzam-baig-1163153,eswatini vs malawi
Gershom Ntambalika ,run out (Muhammad Amin/†Jangariya),3,2,3,0,0,150,/cricketers/gershom-ntambalika-1163147,eswatini vs malawi
Christiaan Forbes ,c Limdawala b Sami Sohail,7,13,21,1,0,53.84,/cricketers/christiaan-forbes-1163165,eswatini vs malawi
Tarun Sandeep ,c Vayani b Jakiel,2,7,14,0,0,28.57,/cricketers/tarun-sandeep-585555,eswatini vs malawi
Adil Butt (c),c Sami Sohail b Baig,15,15,20,1,0,100,/cricketers/adil-butt-1347279,eswatini vs malawi
Muhammad Amin ,c Limdawala b Sami Sohail,2,6,10,0,0,33.33,/cricketers/muhammad-amin-1283103,eswatini vs malawi
Umair Qasim ,c Limdawala b Vayani,6,10,17,0,0,60,/cricketers/umair-qasim-1283098,eswatini vs malawi
Hujeifa Jangariya †,run out (†Chete),23,19,24,1,2,121.05,/cricketers/hujeifa-jangariya-1378455,eswatini vs malawi
Haris Rashid , b Baig,3,4,4,0,0,75,/cricketers/haris-rashid-346529,eswatini vs malawi
Wesley Landman , b Vayani,1,4,4,0,0,25,/cricketers/wesley-landman-1378459,eswatini vs malawi
Shehzad Patel ,c †Chete b G Kansonkho,17,13,19,2,0,130.76,/cricketers/shehzad-patel-1163169,eswatini vs malawi
Choudry Share Ali ,c Sumit Singh b Amjad Sher,10,5,-,2,0,200,/cricketers/choudry-share-ali-1273286,finland vs sweden
Imal Zuwak ,c Gallagher b Amjad Sher,1,4,-,0,0,25,/cricketers/imal-zuwak-1273278,finland vs sweden
Abu Zar , b Raaz Mohammad,2,3,-,0,0,66.66,/cricketers/abu-zar-271996,finland vs sweden
Zaker Taqawi ,c sub (Parveen Kumar) b Raaz Mohammad,6,8,-,1,0,75,/cricketers/zaker-taqawi-1318855,finland vs sweden
Wynand Boshoff †,c Amjad Sher b Gallagher,11,18,-,1,0,61.11,/cricketers/wynand-boshoff-1273277,finland vs sweden
Shahzeb Choudhry (c),c Tambe b Amjad Sher,0,5,-,0,0,0,/cricketers/shahzeb-choudhry-1046653,finland vs sweden
Sami Rahmani ,c Sumit Singh b Gallagher,22,23,-,4,0,95.65,/cricketers/sami-rahmani-250386,finland vs sweden
Saeed Ahmed ,c Tambe b Gallagher,18,10,-,1,2,180,/cricketers/saeed-ahmed-1215488,finland vs sweden
Abdul Naser Baluch ,c Faheem Nellancheri b Sumit Singh,8,12,-,0,0,66.66,/cricketers/abdul-naser-baluch-1318851,finland vs sweden
Peter Gallagher , b Abdul Naser Baluch,0,1,-,0,0,0,/cricketers/peter-gallagher-1156458,finland vs sweden
Atif Rasheed ,c Samiullah Rahmani b Abdul Naser Baluch,0,2,-,0,0,0,/cricketers/atif-rasheed-1313739,finland vs sweden
Aravind Mohan †,lbw b Prashant Shukla,29,40,-,2,0,72.5,/cricketers/aravind-mohan-1156467,finland vs sweden
Nathan Collins (c),run out (Abu Zar/†Boshoff),10,22,-,1,0,45.45,/cricketers/nathan-collins-1156457,finland vs sweden
Jordan O'Brien ,c Choudry Share Ali b Zaker Taqawi,6,12,-,0,0,50,/cricketers/jordan-o-brien-1070956,finland vs sweden
Vanraaj Padhaal ,c Samiullah Rahmani b Prashant Shukla,18,18,-,2,0,100,/cricketers/vanraaj-padhaal-1156464,finland vs sweden
Faheem Nellancheri ,c Shahzeb Choudhry b Prashant Shukla,5,5,-,1,0,100,/cricketers/faheem-nellancheri-946515,finland vs sweden
Amjad Sher , b Prashant Shukla,4,7,-,0,0,57.14,/cricketers/amjad-sher-1194056,finland vs sweden
Mahesh Tambe ,not out ,8,7,-,1,0,114.28,/cricketers/mahesh-tambe-1156462,finland vs sweden
Peter Gallagher ,c Abeyrathna b Vinay Ravi,7,7,-,1,0,100,/cricketers/peter-gallagher-1156458,finland vs norway
Atif Rasheed ,c Chaudhary Akram b Shahbaz Butt,29,17,-,1,2,170.58,/cricketers/atif-rasheed-1313739,finland vs norway
Aravind Mohan ,lbw b Sher Sahak,14,17,-,1,1,82.35,/cricketers/aravind-mohan-1156467,finland vs norway
Jordan O'Brien ,c Vinay Ravi b Shahbaz Butt,8,10,-,1,0,80,/cricketers/jordan-o-brien-1070956,finland vs norway
Vanraaj Padhaal ,c Abeyrathna b Raza Iqbal,7,14,-,0,0,50,/cricketers/vanraaj-padhaal-1156464,finland vs norway
Faheem Nellancheri , b Sher Sahak,5,4,-,1,0,125,/cricketers/faheem-nellancheri-946515,finland vs norway
Amjad Sher (c),c Raza Iqbal b Shahbaz Butt,1,5,-,0,0,20,/cricketers/amjad-sher-1194056,finland vs norway
Areeb Quadir †, b Qamar Mushtaque,14,14,-,0,0,100,/cricketers/areeb-quadir-1194054,finland vs norway
Parveen Kumar ,c Chaudhary Akram b Raza Iqbal,3,7,-,0,0,42.85,/cricketers/parveen-kumar-1313734,finland vs norway
Chaudhary Akram ,c Jordan O'Brien b Gallagher,10,12,-,2,0,83.33,/cricketers/chaudhary-akram-751695,finland vs norway
Raza Iqbal ,lbw b Gallagher,50,25,-,7,1,200,/cricketers/raza-iqbal-917093,finland vs norway
Kuruge Abeyrathna ,not out ,25,23,-,3,0,108.69,/cricketers/kuruge-abeyrathna-1271990,finland vs norway
Nathan Collins (c),c †Boshoff b Khalid Zahid,8,7,-,2,0,114.28,/cricketers/nathan-collins-1156457,finland vs sweden
Vanraaj Padhaal ,lbw b Abdul Naser Baluch,1,4,-,0,0,25,/cricketers/vanraaj-padhaal-1156464,finland vs sweden
Aravind Mohan †,c †Boshoff b Shahzeb Choudhry,18,24,-,1,0,75,/cricketers/aravind-mohan-1156467,finland vs sweden
Atif Rasheed ,c & b Prashant Shukla,29,27,-,1,2,107.4,/cricketers/atif-rasheed-1313739,finland vs sweden
Faheem Nellancheri , b Shahzeb Choudhry,12,17,-,1,0,70.58,/cricketers/faheem-nellancheri-946515,finland vs sweden
Jordan O'Brien , b Shahzeb Choudhry,18,19,-,2,1,94.73,/cricketers/jordan-o-brien-1070956,finland vs sweden
Amjad Sher ,c Imal Zuwak b Shahzeb Choudhry,7,8,-,0,0,87.5,/cricketers/amjad-sher-1194056,finland vs sweden
Peter Gallagher ,not out ,2,3,-,0,0,66.66,/cricketers/peter-gallagher-1156458,finland vs sweden
Mahesh Tambe , b Abdul Naser Baluch,0,4,-,0,0,0,/cricketers/mahesh-tambe-1156462,finland vs sweden
Imal Zuwak ,c †Mohan b Amjad Sher,0,1,-,0,0,0,/cricketers/imal-zuwak-1273278,finland vs sweden
Choudry Share Ali ,c †Mohan b Parveen Kumar,4,13,-,0,0,30.76,/cricketers/choudry-share-ali-1273286,finland vs sweden
Abdur Rahman Sudais ,c Atif Rasheed b Gallagher,5,10,-,1,0,50,/cricketers/abdur-rahman-sudais-335850,finland vs sweden
Wynand Boshoff †,c †Mohan b Amjad Sher,8,6,-,1,0,133.33,/cricketers/wynand-boshoff-1273277,finland vs sweden
Zaker Taqawi , b Akhil Arjunan,11,20,-,1,0,55,/cricketers/zaker-taqawi-1318855,finland vs sweden
Saeed Ahmed ,run out (Jordan O'Brien/†Mohan),16,23,-,1,0,69.56,/cricketers/saeed-ahmed-1215488,finland vs sweden
Shahzeb Choudhry (c),lbw b Parveen Kumar,11,7,-,2,0,157.14,/cricketers/shahzeb-choudhry-1046653,finland vs sweden
Sami Rahmani ,c Tambe b Amjad Sher,8,14,-,0,0,57.14,/cricketers/sami-rahmani-250386,finland vs sweden
Khalid Zahid ,run out (Collins/Tambe),2,3,-,0,0,66.66,/cricketers/khalid-zahid-580989,finland vs sweden
Nathan Collins (c),lbw b Lucky Ali,11,20,-,1,0,55,/cricketers/nathan-collins-1156457,denmark vs finland
Jordan O'Brien ,c Ahmad b Saud Munir,8,16,-,0,0,50,/cricketers/jordan-o-brien-1070956,denmark vs finland
Aravind Mohan †,c †Abdul Hashmi b Saud Munir,3,9,-,0,0,33.33,/cricketers/aravind-mohan-1156467,denmark vs finland
Vanraaj Padhaal ,c Kristensen b Shah,13,18,-,1,0,72.22,/cricketers/vanraaj-padhaal-1156464,denmark vs finland
Atif Rasheed ,st †Abdul Hashmi b Lucky Ali,30,26,-,2,1,115.38,/cricketers/atif-rasheed-1313739,denmark vs finland
Amjad Sher , b Saud Munir,0,4,-,0,0,0,/cricketers/amjad-sher-1194056,denmark vs finland
